Question,Segment Type,Segment Description,Platform,Count,Percentage
What social platform has influenced your online shopping most?,Graduation Year,2019,None,262,0.31
What social platform has influenced your online shopping most?,Graduation Year,2020,Facebook,74,0.155
What social platform has influenced your online shopping most?,Graduation Year,2020,Instagram,150,0.314
What social platform has influenced your online shopping most?,Graduation Year,2020,Snapchat,15,0.031
What social platform has influenced your online shopping most?,Graduation Year,2020,Twitter,47,0.099
What social platform has influenced your online shopping most?,Graduation Year,2020,None,191,0.4
What social platform has influenced your online shopping most?,Ethnicity,White,Facebook,352,0.224
What social platform has influenced your online shopping most?,Ethnicity,White,Instagram,498,0.317
What social platform has influenced your online shopping most?,Ethnicity,White,Snapchat,47,0.03
What social platform has influenced your online shopping most?,Ethnicity,White,Twitter,102,0.065
What social platform has influenced your online shopping most?,Ethnicity,White,None,573,0.365
What social platform has influenced your online shopping most?,Sexual Orientation,Straight,Facebook,215,0.18
What social platform has influenced your online shopping most?,Sexual Orientation,Straight,Instagram,354,0.297
What social platform has influenced your online shopping most?,Sexual Orientation,Straight,Snapchat,44,0.037
What social platform has influenced your online shopping most?,Sexual Orientation,Straight,Twitter,88,0.074
What social platform has influenced your online shopping most?,Sexual Orientation,Straight,None,492,0.412
What social platform has influenced your online shopping most?,University,Midwest,Facebook,150,
What social platform has influenced your online shopping most?,University,Midwest,Instagram,203,
What social platform has influenced your online shopping most?,University,Midwest,Snapchat,16,
What social platform has influenced your online shopping most?,University,Midwest,Twitter,50,
What social platform has influenced your online shopping most?,University,Midwest,None,234,
What social platform has influenced your online shopping most?,University,Northeast,Facebook,97,
What social platform has influenced your online shopping most?,University,Northeast,Instagram,131,
What social platform has influenced your online shopping most?,University,Northeast,Snapchat,14,
What social platform has influenced your online shopping most?,University,Northeast,Twitter,18,
What social platform has influenced your online shopping most?,University,Northeast,None,151,
What social platform has influenced your online shopping most?,University,South,Facebook,151,
What social platform has influenced your online shopping most?,University,South,Instagram,188,
What social platform has influenced your online shopping most?,University,South,Snapchat,23,
What social platform has influenced your online shopping most?,University,South,Twitter,34,
What social platform has influenced your online shopping most?,University,South,None,235,
What social platform has influenced your online shopping most?,University,West,Facebook,87,
What social platform has influenced your online shopping most?,University,West,Instagram,200,
What social platform has influenced your online shopping most?,University,West,Snapchat,14,
What social platform has influenced your online shopping most?,University,West,Twitter,28,
What social platform has influenced your online shopping most?,University,West,None,138,
